Date,open,high,low,close,adj close,volume,sentiment,btc_trans_blockchain,avg_block_size,unique_sentbyaddress,avg_hashrate,sent_in_usd,median_trans_fee,avg_block_confirm_time_min,median_trans_value_usd,sma_20,ema_20,ema_12,ema_26,macd,signal_line,rsi,%k,%d,middle_band,upper_band,lower_band
2015-01-23,233.516998,234.845001,225.195999,232.878998,232.878998,24621700,-1,91887.0,390335.0,146063.0,2.81e+17,217567723.0,0.023,11.613,78.988,242.6032982,242.9408086754759,229.53319458756894,252.94180405259934,-23.408609465030395,-26.51729143002772,42.658928360512654,52.62439695873208,49.84765482367168,242.6032982,313.6921177112597,171.51447868874033
2015-01-24,232.699997,248.210007,230.022003,247.847,247.847,24782500,-1,83431.0,372257.0,130398.0,2.67e+17,177146103.0,0.0237,11.429,65.626,241.78589785,243.40806499209725,232.35070311255834,252.5644111598142,-20.213708047255864,-25.25657475347335,47.937518804311445,70.59873619234908,58.32463723102103,241.78589785,312.20214580407423,171.36964989592576
2015-01-25,247.352005,255.074005,243.889999,253.718002,253.718002,33582700,1,86433.0,457507.0,177915.0,2.79e+17,219821643.0,0.0249,11.52,50.787,240.74809800000003,244.38996375475466,235.63797986447244,252.6498623331613,-17.011882468688867,-23.607636296516453,49.88620769783182,81.6422198848206,68.28845101196725,240.74809800000003,309.73314667417446,171.7630493258256
2015-01-26,254.078995,309.384003,254.078995,273.472992,273.472992,106794000,1,108054.0,491373.0,172932.0,2.75e+17,551380791.0,0.0281,11.339,97.951,240.11229784999995,247.15977596858755,241.45875096224592,254.19231638255678,-12.733565420310867,-21.432822121275336,55.871508710765696,73.95374841065038,75.39823482927335,240.11229784999995,307.5510173207022,172.67357837929768
2015-01-27,273.166992,275.480011,250.653,263.475006,263.475006,44399000,1,99244.0,384604.0,171248.0,2.96e+17,283789031.0,0.0261,9.664,77.204,238.56919785,248.71360740015064,244.8458671219004,254.8799230208859,-10.034055898985514,-19.153068876817375,52.456820277387195,66.70221047030125,74.09939292192406,238.56919785,302.0817879060424,175.05660779395757
2015-01-28,263.351013,266.535004,227.046005,233.914993,233.914993,44352200,-1,85068.0,273552.0,125251.0,3.19e+17,167232333.0,0.0253,8.78,75.39,236.09749755,247.30421555251726,243.16419418006956,253.32696524156103,-10.162771061491469,-17.355009313752195,43.91170765727011,43.036667748533816,61.23087554316181,236.09749755,296.0185476927892,176.17644740721084
2015-01-29,233.348007,238.705994,220.712006,233.513,233.513,32213400,-1,90715.0,282263.0,141590.0,3.39e+17,198110448.0,0.0232,8.78,79.12,233.25274805000004,245.9907664522775,241.6793950754435,251.8592641125565,-10.179869037113008,-15.91998125842436,43.807197175474755,33.95515326058149,47.89801049313885,233.25274805000004,287.44582632542296,179.05966977457712
2015-01-30,232.772003,242.850998,225.839005,226.425003,226.425003,26605200,-1,81061.0,312664.0,127447.0,3.18e+17,180294705.0,0.0232,10.435,95.57,230.83419869999997,244.12736040920348,239.3325655253753,249.97524477088567,-10.64267924551038,-14.864520855841565,41.913030029064494,27.7851323429134,34.9256511173429,230.83419869999997,281.4181898500465,180.25020754995347
2015-01-31,226.440994,233.503998,216.309006,217.464005,217.464005,23348200,-1,86146.0,314776.0,168547.0,3.03e+17,157734829.0,0.0228,8.675,59.035,228.42439875,241.58799322737457,235.96817159839446,247.56700478785712,-11.598833189462653,-14.211383322565784,39.582809687242616,19.984685319137572,27.241656974210816,228.42439875,276.5553569719496,180.29344052805038
2015-02-01,216.867004,231.574005,212.014999,226.972,226.972,29128500,1,79122.0,265055.0,135337.0,3.3e+17,212156964.0,0.0314,8.727,124.895,226.38319925000002,240.1959938723865,234.58414519864147,246.04144887764548,-11.457303679004013,-13.66056739385343,43.19172569767195,20.93331098425678,22.901042882102576,226.38319925000002,270.8033363823518,181.96306211764824
